frame,x,y
1,76,331
1,76,331
1,75,331
1,75,331
1,76,331
1,76,331
1,75,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,75,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,75,331
1,76,331
1,75,331
1,76,331
1,76,331
1,75,331
1,75,331
1,76,331
1,75,331
1,75,331
1,75,331
1,75,331
1,75,331
1,76,331
1,75,331
1,75,331
1,75,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,75,331
1,76,331
1,75,331
1,75,331
1,75,331
1,75,331
1,75,331
1,75,331
1,76,331
1,75,331
1,76,331
1,75,331
1,76,331
1,75,331
1,76,331
1,75,331
1,75,331
1,76,331
1,76,331
1,75,331
1,75,331
1,75,331
1,76,331
1,75,331
1,76,331
1,76,331
1,75,331
1,75,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,75,331
1,76,332
1,76,331
1,76,331
1,76,331
1,76,331
1,76,331
1,75,331
1,75,332
1,75,332
1,75,333
1,75,334
1,76,334
1,75,335
1,147,333
1,155,331
1,166,328
1,171,327
1,181,325
1,183,325
1,186,325
1,185,326
1,184,327
1,184,327
1,183,328
1,182,327
1,181,328
1,179,328
1,176,328
1,176,328
1,176,327
1,176,328
1,176,327
1,176,328
1,175,327
1,173,326
1,171,326
1,167,325
1,165,324
1,163,324
1,163,324
1,162,324
1,162,324
1,160,324
1,158,325
1,155,325
1,153,325
1,153,326
1,153,326
1,153,326
1,153,326
1,152,326
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,152,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,326
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,152,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,152,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
1,153,327
