frame,x,y
1,416,237
2,416,237
3,416,237
4,416,237
5,416,237
6,416,237
7,416,237
8,416,237
9,416,237
10,416,237
11,416,237
12,416,237
13,416,237
14,416,237
15,416,237
16,416,237
17,416,237
18,416,237
19,416,237
20,416,237
21,416,237
22,416,237
23,416,237
24,416,237
25,416,237
26,416,237
27,416,237
28,416,237
29,416,237
30,416,237
31,416,237
32,416,237
33,416,237
34,416,237
35,416,237
36,416,237
37,416,237
38,416,237
39,416,237
40,416,237
41,416,237
42,416,236
43,416,237
44,416,237
45,416,237
46,416,237
47,416,237
48,416,237
49,416,237
50,416,237
51,416,236
52,416,237
53,416,237
54,416,237
55,416,236
57,416,237
58,416,237
59,416,237
61,416,237
62,416,237
63,416,237
64,416,237
67,416,237
68,416,237
69,416,237
72,416,237
73,416,237
74,416,237
75,416,237
76,416,237
77,416,237
78,416,237
79,416,237
80,416,237
81,416,237
82,416,237
83,416,237
84,416,237
85,416,237
86,416,237
87,416,237
88,416,237
89,416,237
90,416,237
91,416,236
92,416,237
93,416,237
94,416,237
95,416,236
97,416,237
98,416,237
99,416,237
100,416,237
101,416,237
102,416,237
103,416,237
104,416,237
105,416,237
106,416,237
107,416,237
108,416,237
109,416,237
110,416,237
111,416,237
112,416,237
113,416,237
114,416,237
116,416,237
117,415,236
118,416,237
119,416,237
121,416,237
122,416,237
123,416,237
124,416,237
125,416,237
126,416,237
127,416,237
128,416,237
129,416,237
130,416,237
131,416,237
132,416,237
133,416,237
134,416,237
135,416,237
136,416,237
137,416,237
138,416,237
139,416,237
140,416,237
141,416,237
142,416,237
143,416,237
144,416,237
145,416,237
146,416,237
147,416,237
148,416,237
149,416,237
150,416,237
151,416,237
152,416,237
153,416,237
154,416,237
155,416,237
156,416,237
157,416,237
158,416,237
159,416,237
160,416,237
161,416,237
162,416,237
163,416,237
165,416,237
166,416,237
167,416,237
168,416,237
169,416,237
170,416,237
171,416,237
172,416,237
173,416,236
174,416,237
175,416,237
176,416,237
177,416,236
178,416,237
179,416,237
180,416,237
181,416,237
182,416,237
183,416,237
184,416,237
185,416,237
186,416,237
187,416,237
188,416,237
189,416,237
190,416,237
191,416,237
192,416,237
193,416,236
194,416,237
195,416,236
196,416,237
197,416,237
198,416,237
199,416,237
200,416,237
201,416,237
202,416,237
203,416,237
204,416,237
205,416,237
206,416,237
207,416,237
208,416,237
209,416,237
210,416,237
211,416,237
212,416,237
213,416,237
214,416,237
215,416,237
217,416,237
218,416,237
219,416,237
220,416,237
221,416,237
222,416,237
223,416,237
224,416,237
225,416,237
226,416,237
227,416,237
228,416,237
229,416,237
230,416,237
231,416,237
232,416,237
233,416,237
234,416,237
235,416,237
236,416,237
238,416,237
239,416,236
240,416,236
241,416,237
242,416,237
243,416,237
244,416,237
245,416,237
246,416,237
247,416,237
248,416,237
249,416,237
250,416,237
251,416,237
252,416,237
253,416,237
254,416,237
255,416,237
256,416,237
257,416,237
258,416,237
259,416,237
260,416,237
261,416,237
262,416,237
263,416,237
264,416,237
265,416,237
266,416,237
267,416,237
268,416,237
269,416,237
270,416,237
271,416,237
272,416,237
273,416,237
274,416,237
275,416,237
276,416,237
277,416,237
278,416,237
279,416,237
280,416,237
281,416,237
282,416,237
283,416,237
284,416,237
285,416,237
286,416,237
287,416,237
288,416,237
289,416,237
290,416,237
291,416,237
292,416,237
293,416,237
294,416,237
295,416,237
296,416,237
297,416,237
298,416,237
299,416,237
300,416,236
301,416,237
302,416,237
303,416,237
304,416,237
305,416,237
306,416,237
307,416,237
308,416,237
309,416,237
310,416,237
311,416,237
312,416,237
313,416,237
314,416,237
315,416,237
316,416,237
317,416,237
318,416,237
319,416,237
320,416,237
321,416,237
322,416,237
323,416,237
324,416,237
325,416,237
326,416,237
327,416,237
328,416,237
329,416,237
330,416,237
331,416,237
333,416,237
334,416,237
335,416,237
337,416,237
338,416,237
339,416,237
340,416,237
341,416,237
342,416,237
343,416,237
344,416,237
345,416,237
346,416,237
347,416,237
348,416,237
349,416,237
350,416,237
351,416,236
352,416,237
353,416,237
354,416,237
355,416,237
356,416,237
357,416,237
358,416,237
359,416,237
360,416,237
361,416,237
362,416,237
363,416,237
364,416,237
365,416,237
366,416,237
367,416,237
368,416,237
369,416,237
370,416,237
371,416,237
372,416,237
373,416,237
374,416,237
375,416,237
376,416,237
377,416,237
378,416,237
379,416,236
381,416,237
382,416,236
383,416,237
384,416,236
385,416,237
386,416,237
387,416,237
388,415,237
389,416,237
390,416,237
391,416,237
392,415,237
393,415,237
394,415,237
395,415,237
396,415,237
397,415,237
399,416,237
402,416,237
403,416,237
409,415,237
410,415,237
411,415,237
412,415,237
413,415,237
414,415,237
415,415,237
416,415,237
417,415,237
419,414,237
420,414,237
421,414,237
423,414,237
424,414,237
425,414,237
426,414,237
427,413,237
428,413,237
429,413,237
430,413,237
431,413,237
432,413,236
433,412,237
434,412,237
435,412,236
436,412,237
437,411,237
438,411,237
439,410,237
440,410,236
441,410,237
442,409,237
443,409,237
444,408,237
445,408,236
446,407,237
447,407,236
448,406,237
449,406,236
450,405,237
451,405,236
452,404,236
453,404,236
454,402,237
456,402,236
457,401,236
458,400,236
459,399,236
460,399,236
461,397,237
462,397,237
463,396,237
464,395,236
465,394,237
466,393,236
467,392,236
468,391,236
469,391,236
470,389,236
471,388,236
472,387,236
473,386,236
474,385,236
476,381,236
477,380,235
479,378,235
480,376,235
481,374,234
482,373,234
484,370,233
485,369,233
486,366,233
487,366,233
488,363,232
490,360,232
492,357,231
493,355,230
494,353,230
495,350,229
496,349,229
497,346,229
498,345,229
499,343,228
500,342,228
501,341,228
502,339,228
503,338,228
504,335,228
505,334,228
506,332,228
507,331,228
508,329,228
510,327,228
511,326,228
512,325,228
513,324,228
514,323,228
515,322,228
516,321,228
517,319,228
518,318,229
519,317,228
520,315,228
521,313,229
522,313,229
523,312,229
525,310,229
527,307,229
528,307,229
529,307,229
530,305,229
531,304,228
532,304,229
533,303,229
534,303,229
535,302,229
536,302,229
537,301,229
538,300,229
539,300,229
540,299,229
541,299,229
542,298,229
543,298,229
544,297,229
545,296,229
546,296,229
547,295,229
548,295,229
549,294,229
550,293,229
551,293,230
554,290,230
555,289,230
556,289,230
557,288,230
562,284,230
564,282,230
565,281,230
566,280,231
567,280,230
568,279,230
569,278,231
570,276,231
572,274,231
573,274,231
574,273,231
575,272,231
576,272,231
578,271,231
579,270,231
581,269,231
584,269,232
585,269,231
589,269,231
590,269,231
591,270,231
592,270,231
607,270,232
608,270,231
619,270,231
621,270,231
623,271,231
624,271,231
625,271,231
626,271,231
627,271,231
628,272,231
629,272,231
630,272,231
631,272,231
633,273,231
635,274,231
636,275,231
637,276,231
640,277,232
642,279,232
643,279,232
644,281,231
645,280,231
646,282,231
647,283,231
648,282,231
650,284,231
651,285,231
652,286,231
653,287,231
655,289,231
657,291,232
658,291,231
660,293,231
661,294,231
662,295,231
663,295,231
664,296,231
665,297,231
666,298,232
667,299,231
669,301,231
670,302,231
671,303,231
673,304,231
676,309,232
679,313,232
680,313,232
681,316,232
682,317,233
683,318,233
684,320,232
685,321,233
686,323,233
687,324,233
690,328,232
691,330,233
692,331,233
693,334,234
695,335,233
696,338,233
697,338,234
698,341,234
699,342,234
700,345,234
702,347,233
706,353,234
707,354,234
708,360,234
709,360,234
711,364,234
714,369,234
715,370,233
718,373,234
719,374,234
720,376,234
721,377,234
722,378,234
723,379,235
724,380,234
726,382,235
727,383,235
728,385,235
729,385,235
730,387,234
731,388,235
732,389,234
733,390,235
734,391,235
735,392,235
737,393,235
738,394,235
739,395,235
740,395,235
741,397,236
742,397,236
743,399,235
745,401,236
746,402,236
747,404,235
748,404,235
749,405,236
750,406,236
751,406,236
752,407,236
753,409,236
762,413,235
763,413,236
764,413,236
767,414,235
769,414,235
772,414,236
773,414,235
774,414,235
777,414,235
778,413,235
780,413,236
782,413,236
783,413,236
784,413,236
785,413,236
786,413,236
787,413,236
789,413,236
790,413,236
792,413,235
793,412,236
794,412,236
795,412,236
796,412,236
797,412,236
798,412,236
799,411,236
800,411,236
802,411,235
803,411,235
804,410,236
805,410,236
806,410,236
807,409,236
808,408,236
810,408,236
811,407,236
812,406,236
813,406,236
814,405,236
815,405,236
816,404,236
817,403,236
819,401,236
824,396,237
827,393,236
828,392,237
829,391,237
830,390,237
831,388,237
832,387,237
833,387,237
834,385,237
835,384,237
838,382,237
839,380,237
840,379,236
842,377,237
843,376,237
844,373,237
