Timestamp,Arduino_Time,contact,delta_X,delta_Y,Sync_Time,Simple_Time
2025-12-12 10:20:29.694701,323136,110,0,127,2025-12-12 10:20:29.615335226,2025-12-12 10:20:30.017837
2025-12-12 10:20:29.695700,324780,106,0,127,2025-12-12 10:20:29.616968632,2025-12-12 10:20:30.019481
2025-12-12 10:20:29.696699,326420,96,0,26,2025-12-12 10:20:29.618597984,2025-12-12 10:20:30.021121
2025-12-12 10:20:29.696699,327956,98,0,3,2025-12-12 10:20:29.620124102,2025-12-12 10:20:30.022657
2025-12-12 10:20:29.697698,329436,94,0,2,2025-12-12 10:20:29.621594429,2025-12-12 10:20:30.024137
2025-12-12 10:20:29.701707,330924,106,0,3,2025-12-12 10:20:29.623072863,2025-12-12 10:20:30.025625
2025-12-12 10:20:29.702706,332456,94,0,2,2025-12-12 10:20:29.624594927,2025-12-12 10:20:30.027157
2025-12-12 10:20:29.703710,333940,98,0,3,2025-12-12 10:20:29.626069307,2025-12-12 10:20:30.028641
2025-12-12 10:20:29.704733,335420,108,0,2,2025-12-12 10:20:29.627539873,2025-12-12 10:20:30.030121
2025-12-12 10:20:29.705732,336960,96,0,3,2025-12-12 10:20:29.629069805,2025-12-12 10:20:30.031661
2025-12-12 10:20:29.706741,338440,96,-1,2,2025-12-12 10:20:29.630540371,2025-12-12 10:20:30.033141
2025-12-12 10:20:29.707735,339936,94,0,2,2025-12-12 10:20:29.632026672,2025-12-12 10:20:30.034637
2025-12-12 10:20:29.708734,341420,96,0,3,2025-12-12 10:20:29.633501053,2025-12-12 10:20:30.036121
2025-12-12 10:20:29.711761,342900,96,0,2,2025-12-12 10:20:29.634971380,2025-12-12 10:20:30.037601
2025-12-12 10:20:29.712758,344388,102,0,3,2025-12-12 10:20:29.636449814,2025-12-12 10:20:30.039089
2025-12-12 10:20:29.713755,345920,98,0,2,2025-12-12 10:20:29.637971878,2025-12-12 10:20:30.040621
2025-12-12 10:20:29.713755,347408,100,0,3,2025-12-12 10:20:29.639450312,2025-12-12 10:20:30.042109
2025-12-12 10:20:29.714757,348940,108,0,2,2025-12-12 10:20:29.640972376,2025-12-12 10:20:30.043641
2025-12-12 10:20:29.714757,350480,96,-1,3,2025-12-12 10:20:29.642502308,2025-12-12 10:20:30.045181
2025-12-12 10:20:29.715758,351976,100,0,2,2025-12-12 10:20:29.643988609,2025-12-12 10:20:30.046677
2025-12-12 10:20:29.716756,353516,102,0,1,2025-12-12 10:20:29.645518780,2025-12-12 10:20:30.048217
2025-12-12 10:20:29.718170,355052,100,0,3,2025-12-12 10:20:29.647044897,2025-12-12 10:20:30.049753
2025-12-12 10:20:29.722160,356588,106,0,2,2025-12-12 10:20:29.648570776,2025-12-12 10:20:30.051289
2025-12-12 10:20:29.723160,358124,116,0,2,2025-12-12 10:20:29.650096893,2025-12-12 10:20:30.052825
2025-12-12 10:20:29.723160,359664,112,0,2,2025-12-12 10:20:29.651627064,2025-12-12 10:20:30.054365
