frame,x,y
1,354,287
2,354,287
3,354,287
4,354,287
5,354,287
6,354,287
7,353,286
8,353,286
9,354,287
10,354,287
11,354,287
12,353,286
13,353,286
14,353,286
15,354,286
16,354,286
17,354,286
18,354,286
19,354,286
20,354,286
21,354,286
22,354,286
23,354,286
24,354,286
25,354,286
26,354,286
27,353,286
28,354,287
29,353,286
30,353,286
31,353,286
32,353,286
33,353,286
34,353,286
35,353,287
36,353,286
37,353,286
38,353,286
39,353,287
40,353,286
41,354,287
42,353,287
43,353,287
44,353,287
45,353,287
46,353,287
47,353,287
48,353,287
49,353,286
50,353,286
51,353,286
52,353,286
53,353,286
54,353,287
55,353,286
56,353,286
57,353,287
58,354,287
59,353,287
60,354,287
61,353,286
62,353,287
63,354,287
64,354,287
65,354,287
66,354,287
67,354,287
68,353,287
69,353,287
70,353,287
71,354,287
72,354,287
73,353,287
74,353,287
75,353,287
76,353,286
77,354,287
78,353,287
79,354,287
80,353,286
81,354,287
82,354,287
83,354,287
84,354,287
85,354,287
86,354,287
87,354,287
88,354,287
89,354,287
90,354,287
91,353,287
92,354,287
93,354,287
94,354,287
95,354,287
98,354,286
99,354,286
100,354,286
101,354,286
102,354,287
103,354,286
104,355,286
105,355,287
106,355,286
107,355,286
108,355,286
109,355,286
110,355,286
111,356,286
112,356,287
113,356,286
114,356,286
115,356,285
116,357,286
117,357,286
118,358,286
119,359,285
120,359,286
121,360,286
122,361,285
124,362,285
125,363,285
126,364,285
128,365,285
129,366,285
130,367,285
131,367,285
132,368,285
133,368,285
134,370,285
136,371,285
137,372,285
138,373,285
139,373,285
140,374,285
141,374,285
142,375,285
143,375,285
144,376,285
146,377,285
147,377,285
148,378,285
149,378,285
150,378,285
151,379,285
152,379,285
153,379,285
154,380,285
156,381,285
157,381,285
158,381,285
159,381,285
160,382,285
161,382,285
163,383,285
165,384,285
166,384,285
168,385,285
169,385,285
170,385,285
171,386,284
172,387,285
173,387,285
174,388,285
175,389,285
176,389,285
178,389,284
179,390,284
180,391,284
181,391,285
182,391,284
183,392,284
185,392,284
186,393,284
187,393,284
188,394,285
189,394,284
190,395,285
191,396,285
192,396,284
193,397,285
194,398,284
195,398,284
196,399,284
197,400,284
198,400,284
200,401,284
201,401,285
202,402,285
203,403,284
204,403,284
206,404,284
207,404,284
208,405,284
210,405,284
211,406,283
214,407,285
215,408,284
216,408,283
217,408,283
218,409,284
221,410,283
222,412,283
225,412,283
226,412,283
227,413,283
230,414,283
232,415,283
235,416,283
237,417,283
238,417,283
241,418,283
242,418,283
243,419,283
245,419,284
246,419,283
247,419,283
248,419,283
253,419,283
254,419,283
255,419,283
256,419,283
257,419,283
258,419,283
259,419,283
260,419,283
261,419,283
262,419,283
263,419,283
264,419,283
265,419,283
266,419,283
267,419,283
268,419,283
269,419,283
270,419,283
271,419,283
272,419,283
273,419,283
274,419,283
275,419,283
276,419,283
277,419,283
278,419,283
279,419,283
280,419,283
281,419,283
282,419,283
283,419,283
284,419,283
285,419,283
286,419,283
287,419,283
288,419,283
289,419,283
290,419,283
291,419,283
292,419,283
293,419,283
294,419,283
295,419,283
296,419,283
297,419,283
298,419,283
299,419,284
300,419,283
301,419,284
302,419,283
303,419,283
304,419,284
305,419,284
306,419,284
307,419,284
308,419,284
309,419,284
310,419,284
311,419,284
312,419,283
313,418,284
314,418,284
315,418,284
316,418,284
317,418,284
318,418,284
319,418,284
320,418,284
321,418,284
322,417,284
323,418,283
324,417,284
325,418,284
326,417,284
327,417,284
328,416,284
329,416,284
330,415,285
331,414,284
332,414,284
333,413,284
334,412,284
335,412,284
336,410,284
337,409,284
338,408,284
339,408,283
341,406,284
342,404,284
343,403,283
344,403,283
345,402,284
346,401,283
347,400,283
349,397,283
350,396,283
351,395,283
352,394,282
353,393,283
354,391,283
355,391,282
356,389,283
357,388,282
359,386,283
360,384,282
361,384,283
362,382,283
363,381,282
364,379,282
365,379,282
366,377,282
368,375,283
370,373,283
371,372,282
372,371,282
373,370,282
375,368,282
377,366,282
378,364,281
379,364,282
380,363,282
382,361,282
383,360,281
384,360,281
386,358,281
387,357,281
388,357,281
390,355,281
391,354,280
392,353,281
393,352,280
394,351,280
395,351,281
396,350,281
397,349,280
398,348,280
399,347,281
400,346,280
401,346,281
402,344,281
403,342,280
405,341,280
406,340,280
407,339,280
408,338,280
409,337,280
411,334,280
413,333,280
414,331,280
415,331,279
416,330,280
417,329,279
418,327,279
419,326,279
420,325,279
421,324,279
422,323,280
423,323,279
424,322,279
425,321,279
426,320,279
427,318,280
429,317,279
430,317,279
431,316,279
432,315,278
433,315,279
434,314,279
435,313,278
436,313,278
437,313,279
438,312,278
439,311,279
440,311,278
441,310,278
442,310,278
443,310,278
444,309,278
445,309,278
446,308,278
447,308,279
448,308,278
449,308,278
450,307,279
451,307,279
452,307,278
453,307,279
454,307,279
455,306,278
456,306,279
457,306,279
458,306,279
459,306,278
460,306,278
461,305,278
462,305,279
463,305,279
464,305,278
465,305,278
466,304,279
467,304,279
468,304,278
469,303,278
471,303,279
472,303,279
473,303,279
474,303,279
475,303,279
476,303,279
477,303,279
478,303,279
479,303,279
480,303,279
481,303,278
482,303,278
483,303,278
484,303,278
485,303,279
486,303,279
487,303,279
488,303,279
489,303,279
490,303,279
491,303,279
492,303,279
493,303,279
494,303,279
495,303,279
496,303,279
497,303,279
498,303,279
499,303,279
500,304,278
501,304,278
502,304,278
503,304,278
504,304,278
505,304,278
506,304,278
507,304,278
508,304,278
509,304,278
510,304,278
511,304,278
512,304,278
513,304,278
514,304,278
515,304,278
516,304,278
517,304,278
518,304,277
519,304,277
520,304,277
521,304,277
522,304,278
523,304,278
524,304,278
525,304,278
526,304,278
527,304,277
528,305,277
529,305,278
531,305,277
532,305,278
533,305,277
534,305,277
535,305,277
536,305,277
537,306,277
538,306,277
539,306,277
540,306,277
541,306,277
542,306,277
543,306,277
544,307,277
545,307,277
546,307,277
547,308,277
548,308,277
549,308,277
550,309,277
551,309,277
552,310,277
553,311,277
554,311,277
555,311,277
556,312,277
557,313,277
558,313,277
559,314,277
560,315,277
561,316,277
562,316,277
563,317,277
564,318,278
565,318,277
566,319,277
567,320,278
568,321,277
569,321,277
571,323,278
572,323,277
573,325,278
574,325,277
576,327,278
577,328,278
578,329,278
579,330,278
580,331,278
581,333,278
582,333,278
583,335,278
584,335,278
585,337,278
586,337,278
587,338,278
588,339,278
589,340,278
590,341,278
591,342,278
592,343,278
593,344,278
594,346,278
595,346,278
596,348,278
597,348,278
598,350,278
599,350,278
600,352,278
601,352,278
602,354,278
603,355,279
604,355,278
605,356,278
607,358,278
608,360,278
609,361,278
610,361,278
611,363,278
613,364,278
614,365,278
615,366,278
616,367,278
618,368,278
619,369,278
620,369,278
622,372,278
623,372,278
624,373,278
625,374,278
627,375,278
628,375,278
629,376,278
630,377,278
631,377,278
632,378,279
633,379,279
635,381,279
636,381,278
637,382,279
638,382,278
639,383,278
640,383,278
642,385,279
643,385,278
644,385,278
645,386,278
646,386,279
647,387,279
650,388,279
651,388,279
652,388,279
653,388,279
654,388,279
655,388,279
656,388,279
657,388,279
658,388,279
659,388,279
660,388,279
661,388,279
662,388,279
663,388,279
664,388,279
665,388,279
666,388,279
667,388,279
668,388,279
669,388,279
670,388,279
671,388,279
672,389,279
673,389,280
674,389,280
675,389,280
676,389,280
677,389,280
680,389,280
681,389,279
683,389,279
684,389,279
685,390,279
686,390,279
687,392,278
689,395,278
690,395,278
691,397,277
692,397,277
693,398,276
694,398,276
696,398,275
697,399,274
698,399,273
700,399,272
701,400,270
702,400,270
703,401,268
704,401,268
706,401,266
708,402,263
710,401,261
712,401,258
713,401,257
714,402,254
715,401,253
716,402,251
717,402,250
718,402,247
719,402,245
722,402,238
723,401,236
724,401,234
725,401,230
726,401,229
727,401,228
728,400,224
729,400,222
731,399,221
732,399,218
733,399,215
734,399,214
735,398,212
736,398,211
737,397,210
738,397,209
739,397,207
741,396,205
742,396,204
743,396,204
744,395,202
745,395,202
746,394,200
747,394,199
748,394,197
749,393,197
750,393,197
752,393,195
753,392,194
754,391,193
755,392,193
756,391,192
757,391,191
758,390,190
759,390,190
760,390,189
761,390,189
762,389,189
763,389,189
764,389,189
765,389,188
766,388,188
767,388,188
768,389,189
769,388,188
770,388,189
771,388,189
772,388,190
773,388,190
775,388,192
776,388,193
777,388,195
778,388,196
779,388,197
780,388,199
781,388,199
782,388,201
783,388,203
785,387,205
787,387,208
788,387,209
789,387,211
790,387,212
791,387,214
792,387,215
793,387,217
794,387,217
796,386,220
798,386,224
799,386,225
800,386,227
801,385,229
802,385,230
804,385,232
805,384,233
806,384,234
807,384,236
808,384,237
809,384,239
810,384,240
811,383,240
812,383,242
814,384,244
815,383,246
816,383,248
817,383,248
818,383,250
819,383,251
820,383,252
821,383,253
822,383,254
823,383,255
824,383,256
825,383,257
826,383,259
827,382,260
828,382,261
829,382,263
830,382,264
831,381,264
832,382,266
833,382,268
834,382,268
835,382,270
836,381,271
837,381,271
838,381,273
839,381,273
840,380,275
841,380,275
842,380,276
843,380,276
844,380,277
845,380,278
846,380,278
847,380,278
848,380,278
849,380,278
851,379,278
852,380,278
856,379,278
857,378,278
858,378,278
859,378,279
860,378,279
861,378,279
862,378,280
863,378,279
864,378,280
865,378,280
866,378,280
867,378,280
868,378,280
869,378,280
870,378,280
871,378,280
872,378,280
873,378,280
874,378,280
875,378,280
876,378,280
877,378,281
878,378,281
879,378,281
880,378,281
881,378,281
882,378,281
883,378,281
884,378,281
885,378,281
886,378,281
887,378,281
888,378,281
889,378,281
890,378,281
891,378,281
892,378,281
893,378,281
894,378,281
895,378,281
896,378,281
897,378,281
898,378,281
899,377,280
900,378,280
901,378,281
902,378,281
903,378,281
904,378,281
905,378,281
906,378,281
907,378,281
911,377,281
913,376,281
914,376,281
915,375,281
916,374,281
917,372,281
918,370,281
919,369,281
920,369,281
921,367,281
922,366,281
923,365,281
924,364,281
926,361,281
927,360,281
929,358,281
930,356,281
932,354,280
933,353,281
934,352,280
935,349,281
936,349,280
937,348,281
938,346,281
939,344,280
940,344,280
941,341,280
942,340,280
944,336,280
945,335,280
946,334,280
947,332,280
948,331,279
950,329,280
952,326,280
953,324,280
954,323,279
955,321,279
956,320,279
959,315,279
960,314,279
961,313,279
963,310,279
964,309,279
965,309,279
966,307,279
968,305,279
970,303,279
971,302,279
972,302,279
974,301,279
975,299,279
976,300,279
977,299,279
978,299,279
980,298,279
981,296,279
982,296,279
983,296,279
984,296,279
985,296,279
986,295,279
987,295,279
988,294,279
989,294,278
990,294,280
991,293,279
992,293,279
993,293,279
994,293,279
995,294,279
996,293,279
997,293,279
998,293,279
999,293,279
1000,293,279
1001,293,279
1002,293,279
1003,293,279
1004,293,279
1005,293,279
1006,293,279
1007,293,279
1008,293,279
1009,293,279
1010,293,280
1011,293,279
1012,293,280
1013,293,280
1014,293,280
1015,293,280
1016,293,280
1017,293,280
1018,293,280
1019,293,280
1020,293,280
1021,293,280
1022,293,280
1023,293,280
1024,293,280
1025,293,280
1026,293,280
1027,293,280
1028,293,280
1029,293,280
1030,293,280
1031,293,280
1032,292,280
1035,292,280
1037,292,280
1043,293,280
1044,293,280
1045,293,280
1046,293,280
1047,293,280
1048,293,280
1049,293,280
1050,293,280
1051,293,280
1052,293,280
