Timestamp,Arduino_Time,contact,delta_X,delta_Y,Sync_Time,Simple_Time
2025-12-12 10:39:13.353760,323136,82,0,-127,2025-12-12 10:39:13.321121693,2025-12-12 10:39:13.676896
2025-12-12 10:39:13.353760,324736,78,1,-38,2025-12-12 10:39:13.322721243,2025-12-12 10:39:13.678496
2025-12-12 10:39:13.353760,326276,84,1,-1,2025-12-12 10:39:13.324261189,2025-12-12 10:39:13.680036
2025-12-12 10:39:13.353760,327768,86,0,-1,2025-12-12 10:39:13.325752735,2025-12-12 10:39:13.681528
2025-12-12 10:39:13.354764,329256,78,0,-1,2025-12-12 10:39:13.327240467,2025-12-12 10:39:13.683016
2025-12-12 10:39:13.354764,330744,82,0,-1,2025-12-12 10:39:13.328728199,2025-12-12 10:39:13.684504
2025-12-12 10:39:13.354764,332236,88,1,-2,2025-12-12 10:39:13.330219984,2025-12-12 10:39:13.685996
2025-12-12 10:39:13.355727,333712,88,0,-1,2025-12-12 10:39:13.331695795,2025-12-12 10:39:13.687472
2025-12-12 10:39:13.355727,335204,90,0,-1,2025-12-12 10:39:13.333187580,2025-12-12 10:39:13.688964
2025-12-12 10:39:13.355727,336692,106,1,-2,2025-12-12 10:39:13.334675312,2025-12-12 10:39:13.690452
2025-12-12 10:39:13.356758,338236,118,0,-2,2025-12-12 10:39:13.336218834,2025-12-12 10:39:13.691996
2025-12-12 10:39:13.356758,339776,122,1,-1,2025-12-12 10:39:13.337758541,2025-12-12 10:39:13.693536
2025-12-12 10:39:13.356758,341324,118,0,-1,2025-12-12 10:39:13.339306355,2025-12-12 10:39:13.695084
2025-12-12 10:39:13.357759,342864,106,0,-2,2025-12-12 10:39:13.340846062,2025-12-12 10:39:13.696624
2025-12-12 10:39:13.358765,344412,96,1,-1,2025-12-12 10:39:13.342393875,2025-12-12 10:39:13.698172
2025-12-12 10:39:13.359754,345896,92,0,-1,2025-12-12 10:39:13.343877554,2025-12-12 10:39:13.699656
2025-12-12 10:39:13.359754,347392,78,0,-1,2025-12-12 10:39:13.345373392,2025-12-12 10:39:13.701152
2025-12-12 10:39:13.359754,348880,70,1,-1,2025-12-12 10:39:13.346861124,2025-12-12 10:39:13.702640
2025-12-12 10:39:13.360858,350372,72,0,-2,2025-12-12 10:39:13.348352671,2025-12-12 10:39:13.704132
2025-12-12 10:39:13.360858,351860,68,0,-1,2025-12-12 10:39:13.349840403,2025-12-12 10:39:13.705620
2025-12-12 10:39:13.360858,353352,68,0,-1,2025-12-12 10:39:13.351332188,2025-12-12 10:39:13.707112
2025-12-12 10:39:13.361879,354840,60,1,0,2025-12-12 10:39:13.352819920,2025-12-12 10:39:13.708600
2025-12-12 10:39:13.361879,356320,54,0,-1,2025-12-12 10:39:13.354299784,2025-12-12 10:39:13.710080
2025-12-12 10:39:13.362875,357816,54,0,-1,2025-12-12 10:39:13.355795383,2025-12-12 10:39:13.711576
2025-12-12 10:39:13.362875,359304,58,0,-1,2025-12-12 10:39:13.357283115,2025-12-12 10:39:13.713064
2025-12-12 10:39:13.362875,360796,54,0,-1,2025-12-12 10:39:13.358774900,2025-12-12 10:39:13.714556
2025-12-12 10:39:13.363917,362284,66,1,-1,2025-12-12 10:39:13.360262632,2025-12-12 10:39:13.716044
2025-12-12 10:39:13.363917,363776,70,0,-1,2025-12-12 10:39:13.361754417,2025-12-12 10:39:13.717536
2025-12-12 10:39:13.363917,365264,88,0,-2,2025-12-12 10:39:13.363242149,2025-12-12 10:39:13.719024
2025-12-12 10:39:13.366917,366756,98,1,-1,2025-12-12 10:39:13.364733696,2025-12-12 10:39:13.720516
2025-12-12 10:39:13.367913,368244,100,0,-1,2025-12-12 10:39:13.366221428,2025-12-12 10:39:13.722004
2025-12-12 10:39:13.367913,369792,100,0,-2,2025-12-12 10:39:13.367769241,2025-12-12 10:39:13.723552
2025-12-12 10:39:13.368911,371332,102,1,-1,2025-12-12 10:39:13.369308949,2025-12-12 10:39:13.725092
2025-12-12 10:39:13.368911,372876,96,0,-2,2025-12-12 10:39:13.370852709,2025-12-12 10:39:13.726636
2025-12-12 10:39:13.368911,374364,84,0,-2,2025-12-12 10:39:13.372340441,2025-12-12 10:39:13.728124
2025-12-12 10:39:13.369911,375848,90,0,-2,2025-12-12 10:39:13.373824120,2025-12-12 10:39:13.729608
2025-12-12 10:39:13.369911,377336,86,1,-1,2025-12-12 10:39:13.375311852,2025-12-12 10:39:13.731096
2025-12-12 10:39:13.369911,378824,96,0,-2,2025-12-12 10:39:13.376799583,2025-12-12 10:39:13.732584
2025-12-12 10:39:13.370875,380320,84,0,-1,2025-12-12 10:39:13.378295422,2025-12-12 10:39:13.734080
2025-12-12 10:39:13.370875,381804,96,1,-1,2025-12-12 10:39:13.379779100,2025-12-12 10:39:13.735564
2025-12-12 10:39:13.370875,383300,92,0,-1,2025-12-12 10:39:13.381274700,2025-12-12 10:39:13.737060
2025-12-12 10:39:13.373671,384788,108,1,-1,2025-12-12 10:39:13.382762432,2025-12-12 10:39:13.738548
2025-12-12 10:39:13.373671,386336,106,0,-1,2025-12-12 10:39:13.384310246,2025-12-12 10:39:13.740096
2025-12-12 10:39:13.374670,387876,106,0,-1,2025-12-12 10:39:13.385849953,2025-12-12 10:39:13.741636
2025-12-12 10:39:13.374670,389420,112,0,-1,2025-12-12 10:39:13.387393713,2025-12-12 10:39:13.743180
2025-12-12 10:39:13.375668,390960,120,0,-1,2025-12-12 10:39:13.388933420,2025-12-12 10:39:13.744720
2025-12-12 10:39:13.375668,392508,126,1,-1,2025-12-12 10:39:13.390481234,2025-12-12 10:39:13.746268
2025-12-12 10:39:13.376671,394048,126,0,-1,2025-12-12 10:39:13.392020941,2025-12-12 10:39:13.747808
2025-12-12 10:39:13.376671,395596,126,0,-1,2025-12-12 10:39:13.393568516,2025-12-12 10:39:13.749356
2025-12-12 10:39:13.376671,397136,120,1,0,2025-12-12 10:39:13.395108223,2025-12-12 10:39:13.750896
2025-12-12 10:39:13.377712,398676,130,0,-1,2025-12-12 10:39:13.396648169,2025-12-12 10:39:13.752436
2025-12-12 10:39:13.377712,400216,124,0,-1,2025-12-12 10:39:13.398187876,2025-12-12 10:39:13.753976
2025-12-12 10:39:13.377712,401764,126,0,-2,2025-12-12 10:39:13.399735451,2025-12-12 10:39:13.755524
2025-12-12 10:39:13.380710,403304,120,0,-1,2025-12-12 10:39:13.401275158,2025-12-12 10:39:13.757064
2025-12-12 10:39:13.381732,404848,118,1,-1,2025-12-12 10:39:13.402818918,2025-12-12 10:39:13.758608
2025-12-12 10:39:13.381732,406388,116,0,-1,2025-12-12 10:39:13.404358625,2025-12-12 10:39:13.760148
2025-12-12 10:39:13.381732,407936,108,1,-2,2025-12-12 10:39:13.405906439,2025-12-12 10:39:13.761696
2025-12-12 10:39:13.382736,409476,106,0,-1,2025-12-12 10:39:13.407446146,2025-12-12 10:39:13.763236
2025-12-12 10:39:13.382736,411024,106,0,-2,2025-12-12 10:39:13.408993721,2025-12-12 10:39:13.764784
2025-12-12 10:39:13.383731,412556,102,1,-1,2025-12-12 10:39:13.410525560,2025-12-12 10:39:13.766316
2025-12-12 10:39:13.383731,414100,88,0,-1,2025-12-12 10:39:13.412069321,2025-12-12 10:39:13.767860
2025-12-12 10:39:13.384728,415588,90,1,-1,2025-12-12 10:39:13.413557053,2025-12-12 10:39:13.769348
2025-12-12 10:39:13.384728,417080,84,0,-1,2025-12-12 10:39:13.415048838,2025-12-12 10:39:13.770840
2025-12-12 10:39:13.385729,418568,90,1,-1,2025-12-12 10:39:13.416536570,2025-12-12 10:39:13.772328
2025-12-12 10:39:13.385729,420060,100,0,-1,2025-12-12 10:39:13.418028116,2025-12-12 10:39:13.773820
2025-12-12 10:39:13.385729,421600,90,0,-1,2025-12-12 10:39:13.419567823,2025-12-12 10:39:13.775360
2025-12-12 10:39:13.385729,423092,96,0,-1,2025-12-12 10:39:13.421059608,2025-12-12 10:39:13.776852
2025-12-12 10:39:13.387213,424580,94,1,-2,2025-12-12 10:39:13.422547340,2025-12-12 10:39:13.778340
2025-12-12 10:39:13.390326,426072,110,0,0,2025-12-12 10:39:13.424039125,2025-12-12 10:39:13.779832
2025-12-12 10:39:13.390326,427608,104,0,-2,2025-12-12 10:39:13.425574780,2025-12-12 10:39:13.781368
2025-12-12 10:39:13.390326,429152,116,0,-1,2025-12-12 10:39:13.427118540,2025-12-12 10:39:13.782912
2025-12-12 10:39:13.391292,430692,112,1,-1,2025-12-12 10:39:13.428658247,2025-12-12 10:39:13.784452
2025-12-12 10:39:13.391292,432240,120,0,-1,2025-12-12 10:39:13.430206060,2025-12-12 10:39:13.786000
2025-12-12 10:39:13.391292,433780,98,1,-1,2025-12-12 10:39:13.431745768,2025-12-12 10:39:13.787540
2025-12-12 10:39:13.392445,435272,100,0,-2,2025-12-12 10:39:13.433237553,2025-12-12 10:39:13.789032
2025-12-12 10:39:13.392445,436812,108,0,-1,2025-12-12 10:39:13.434777260,2025-12-12 10:39:13.790572
2025-12-12 10:39:13.393471,438356,98,0,-1,2025-12-12 10:39:13.436321020,2025-12-12 10:39:13.792116
2025-12-12 10:39:13.393471,439844,106,1,-1,2025-12-12 10:39:13.437808752,2025-12-12 10:39:13.793604
2025-12-12 10:39:13.394509,441392,102,0,-1,2025-12-12 10:39:13.439356327,2025-12-12 10:39:13.795152
2025-12-12 10:39:13.394509,442932,114,1,-2,2025-12-12 10:39:13.440896034,2025-12-12 10:39:13.796692
