frame,x,y
1,367,182
2,367,182
4,367,182
9,367,182
10,367,182
11,366,183
12,366,183
13,366,182
14,367,182
15,367,182
16,367,182
17,367,182
20,367,182
21,367,182
22,367,182
23,367,182
24,367,182
25,366,182
26,367,182
28,367,182
29,367,182
31,367,182
32,367,182
33,367,182
34,367,182
35,366,183
36,366,183
37,366,182
38,366,182
39,366,182
40,366,182
41,367,182
42,366,182
49,367,183
50,366,182
51,366,182
52,367,183
53,367,183
54,367,183
55,367,182
56,368,182
57,369,182
58,369,182
59,369,182
60,370,182
61,370,182
62,371,183
63,371,183
64,372,183
66,373,182
67,374,183
68,375,183
69,376,182
70,377,183
71,379,182
72,379,183
73,380,182
74,382,182
75,383,183
76,385,182
77,385,183
78,388,182
80,389,182
81,389,182
82,391,183
83,392,182
84,392,182
85,395,182
87,397,182
88,398,182
90,400,182
91,401,182
92,402,182
93,402,181
94,405,181
96,408,182
97,408,181
98,410,181
99,411,181
100,411,181
101,413,181
103,414,181
104,414,181
105,415,181
106,417,181
107,417,181
109,418,180
110,419,180
111,420,180
112,420,181
113,422,181
114,423,181
115,423,180
116,424,180
117,424,180
118,426,180
119,427,180
120,427,180
121,428,180
123,430,180
124,431,180
126,433,180
127,434,180
128,435,179
129,437,179
130,438,179
131,439,179
132,441,179
133,442,179
134,443,179
135,445,179
136,446,179
137,447,179
138,449,179
140,451,178
141,453,178
142,454,178
144,457,178
146,459,178
149,461,177
150,463,177
151,465,177
152,465,177
154,467,177
155,467,177
156,468,176
157,469,177
158,470,177
159,471,177
160,472,177
161,473,176
162,474,176
163,474,177
164,475,176
165,477,176
167,478,176
168,478,176
169,479,176
170,479,176
171,480,176
172,481,176
173,481,175
174,482,176
175,483,176
176,484,176
177,485,176
178,484,175
180,487,175
182,488,175
183,489,175
184,490,175
185,490,175
186,491,175
187,492,175
188,492,175
189,493,175
191,495,175
192,495,174
193,497,174
194,497,174
195,497,174
196,499,174
197,500,174
198,501,175
199,501,174
200,502,174
201,504,174
202,504,174
203,505,174
204,506,174
205,507,174
206,507,174
208,508,173
209,509,173
210,510,174
211,510,173
212,511,174
213,511,173
214,512,173
215,512,174
216,513,173
217,513,173
218,514,174
219,514,173
220,514,173
221,514,173
222,515,173
223,515,173
225,515,173
231,514,174
232,514,173
233,514,173
234,514,173
235,513,173
236,513,173
237,513,173
238,512,174
239,512,173
240,511,174
241,510,173
242,509,173
243,509,174
244,509,174
245,507,174
246,506,173
247,505,173
248,505,173
249,503,173
250,503,174
251,502,173
252,501,173
253,500,173
254,499,173
255,497,174
256,497,173
257,495,174
258,494,173
259,493,173
260,492,173
261,491,173
263,489,173
264,488,173
265,488,173
266,487,173
267,486,174
268,485,174
269,484,174
270,483,174
271,482,174
272,481,174
273,480,174
274,479,174
275,478,174
276,477,174
277,477,174
278,475,174
281,473,173
283,471,174
284,468,174
285,468,174
286,466,174
287,466,174
288,464,174
289,464,174
290,462,174
291,461,175
292,460,175
293,458,175
294,456,175
296,454,174
297,454,175
298,452,174
299,450,175
300,450,175
302,447,176
303,445,176
304,444,176
305,442,176
306,442,175
307,440,176
308,438,176
309,437,177
310,437,176
311,435,176
312,434,177
313,432,177
314,432,176
316,430,177
318,428,177
319,426,177
320,425,177
321,424,177
323,421,178
324,420,177
325,419,178
326,417,178
327,417,178
328,415,178
329,414,178
330,413,178
331,412,178
332,410,178
333,410,178
334,408,178
335,407,178
336,406,178
337,405,179
338,404,178
339,401,179
340,401,178
341,400,179
342,398,179
343,396,179
344,395,178
345,394,179
348,390,178
350,387,179
351,385,179
352,385,179
353,384,179
355,382,179
356,381,179
357,378,179
358,377,179
359,375,179
360,375,179
361,374,180
362,373,179
363,373,180
364,371,179
365,371,179
366,369,179
367,368,180
368,368,180
369,367,180
370,365,180
371,365,180
372,364,180
373,364,180
374,362,180
375,361,181
376,362,180
377,360,180
379,360,180
380,358,180
381,357,181
382,357,180
383,356,180
384,356,181
385,356,180
387,354,181
388,354,181
389,353,181
390,352,181
391,352,181
392,350,181
393,350,181
394,349,181
395,350,180
396,348,181
397,348,181
399,348,180
401,345,181
402,345,181
403,345,180
404,344,181
406,343,181
407,343,180
408,343,181
410,342,181
411,341,181
414,340,181
415,340,181
416,340,181
417,340,181
418,339,181
419,338,181
420,338,181
421,338,181
425,336,181
426,336,181
427,336,182
429,335,181
431,335,181
432,334,181
435,333,181
436,333,181
437,333,181
441,333,182
442,333,181
443,333,181
444,334,181
446,334,181
447,334,181
448,334,180
449,335,181
450,335,181
451,335,181
452,336,180
454,336,181
455,337,180
456,337,180
457,338,180
458,339,180
459,339,181
460,341,180
462,340,180
463,340,180
464,342,180
465,343,179
466,343,179
467,343,180
468,344,179
469,345,179
470,346,180
471,347,180
472,346,179
473,347,179
474,348,180
475,349,180
476,349,180
477,349,180
478,349,179
480,351,180
481,352,180
482,353,180
483,353,179
484,354,180
485,355,180
486,355,180
487,356,180
488,356,179
489,357,179
490,359,180
491,359,179
492,361,180
493,361,180
494,362,180
495,363,180
496,364,179
497,366,180
498,368,179
499,368,179
500,369,179
501,370,179
504,372,179
506,374,179
507,374,179
508,375,178
509,376,179
510,377,179
511,377,179
512,377,179
513,378,179
515,379,178
516,380,178
518,382,178
519,382,179
520,382,178
522,383,179
523,384,178
524,384,179
526,385,179
527,385,179
528,386,179
529,386,179
530,387,178
531,387,178
533,387,178
534,388,178
535,388,178
536,389,178
537,389,178
538,390,178
539,390,178
540,390,178
541,390,179
542,392,178
543,392,178
544,393,178
545,393,178
546,394,178
547,394,178
548,395,178
550,396,178
551,396,178
552,397,178
553,397,178
554,398,178
555,398,178
556,399,177
557,400,177
558,401,177
559,401,177
560,402,177
561,402,178
562,403,177
563,404,177
564,405,177
565,406,177
566,406,177
567,407,177
568,408,177
569,409,177
572,410,177
574,411,177
577,414,176
578,415,177
579,415,177
580,417,177
581,418,177
582,419,177
583,420,177
584,420,176
585,421,177
586,422,177
587,423,177
588,424,176
589,424,176
590,426,176
592,428,176
593,429,176
594,429,176
595,430,176
596,431,176
597,432,176
598,433,176
599,434,176
601,435,176
602,436,176
603,437,176
604,438,176
605,438,176
606,440,175
607,441,175
608,441,176
609,443,175
610,443,175
611,444,175
612,445,175
613,446,175
614,447,175
615,449,175
616,448,175
617,449,175
618,450,176
619,450,175
620,451,175
621,452,175
622,453,175
623,454,175
624,455,175
625,455,175
626,456,175
627,457,175
628,458,174
629,459,175
630,460,175
631,460,174
632,462,174
633,462,174
634,463,175
635,464,174
636,465,174
637,465,174
638,466,174
639,467,174
640,468,174
641,470,174
642,470,174
643,471,174
644,472,173
645,472,174
646,473,173
647,474,174
648,475,174
649,475,173
650,475,173
651,476,173
652,477,173
653,478,173
654,478,173
655,480,173
656,480,173
657,481,173
658,482,173
659,482,173
660,483,173
661,484,173
662,485,172
663,486,172
664,487,173
665,487,173
666,488,172
667,488,173
668,489,173
669,491,172
670,491,173
671,491,173
672,492,173
673,493,172
674,494,172
675,494,173
676,495,172
682,497,172
683,498,172
684,499,172
687,499,172
688,499,172
689,499,172
690,499,172
691,499,172
692,499,172
693,499,172
694,499,172
695,499,172
698,500,172
701,500,171
712,500,172
713,500,172
714,501,172
716,501,172
717,500,172
718,501,172
719,501,172
720,501,172
721,501,172
722,501,172
723,500,172
724,500,172
727,500,172
728,500,172
729,499,172
730,499,173
731,499,172
732,498,173
733,498,172
734,498,172
736,497,173
737,497,173
740,497,173
741,497,173
742,496,173
744,496,173
745,496,172
746,496,172
748,496,173
749,495,173
750,495,173
756,494,173
757,494,173
758,494,173
759,494,173
760,494,173
761,494,173
762,494,173
763,494,173
764,494,173
765,494,173
766,494,173
767,494,173
768,494,173
770,494,173
771,494,173
772,494,173
773,494,173
774,494,173
775,494,173
776,494,173
778,496,172
780,495,171
781,496,170
782,496,169
783,495,168
784,496,167
785,495,166
786,495,165
787,495,163
790,495,158
793,494,153
796,494,147
797,494,146
798,493,142
799,492,138
800,492,137
801,492,136
803,491,129
804,490,127
805,490,123
806,490,121
807,489,118
808,488,114
810,488,110
811,488,108
812,487,106
814,487,102
815,486,98
816,485,97
817,486,94
825,483,79
826,483,77
828,482,75
832,481,69
833,481,69
834,480,68
835,480,67
836,480,67
838,480,65
839,479,65
840,478,65
841,478,65
842,477,65
843,477,65
844,476,65
845,476,66
846,475,66
848,474,67
849,474,67
850,472,69
852,470,71
853,470,72
854,468,74
856,465,77
857,464,78
858,462,80
861,455,87
863,451,92
865,446,96
866,442,100
867,438,103
869,432,108
870,431,109
871,426,112
872,424,113
874,418,117
875,413,119
879,401,126
881,395,129
883,392,129
884,390,131
885,387,132
887,382,133
888,379,135
889,376,135
890,374,136
891,372,137
892,369,137
893,368,138
894,365,139
895,364,139
896,360,140
897,359,140
899,355,141
901,351,142
902,350,142
904,345,143
905,344,142
907,338,144
908,337,144
909,336,145
910,333,145
911,331,145
912,331,144
913,328,145
914,327,145
915,325,144
917,321,145
918,321,145
920,318,145
921,316,145
922,315,145
923,314,145
924,313,145
925,312,146
927,310,146
929,309,147
930,308,148
931,308,147
932,306,149
933,306,151
934,306,151
935,306,154
936,305,154
937,306,155
938,306,156
939,306,156
940,305,158
941,305,160
943,305,161
944,305,163
945,306,164
946,306,165
947,306,166
948,306,166
949,307,168
950,307,168
951,308,170
952,308,170
954,309,171
955,309,171
958,310,171
959,310,172
960,311,173
961,311,173
962,312,172
963,311,174
964,312,173
965,312,173
966,313,174
967,313,174
968,314,173
969,314,173
970,314,173
971,315,174
973,316,174
974,315,175
975,316,175
976,316,175
977,316,175
978,316,175
979,316,175
980,316,175
981,317,176
982,318,176
983,318,175
984,319,176
985,319,176
986,319,176
987,319,175
988,319,175
991,320,176
995,321,176
996,322,176
997,322,175
998,322,175
999,323,177
1000,324,176
1001,325,176
1002,324,175
1003,325,176
1004,326,177
1007,329,177
1008,328,177
1009,330,177
1010,330,177
1011,331,177
1012,333,177
1013,334,176
1014,334,176
1015,335,177
1016,338,176
1017,337,176
1018,339,176
1019,341,177
1021,342,175
1024,346,176
1025,346,176
1026,347,176
1027,349,176
1028,350,176
1030,353,176
1031,353,175
1032,354,175
1033,356,176
1034,357,175
1035,358,175
1036,359,175
1038,361,175
1039,362,175
1040,364,174
1041,364,175
1042,365,175
1043,366,175
1046,370,175
1047,372,174
1049,375,175
1050,376,174
1051,378,174
1052,379,174
1053,380,175
1054,381,174
1056,384,175
1058,385,174
1059,386,174
1060,386,174
1061,388,174
1062,389,174
1063,391,174
1064,392,174
1065,392,174
1066,393,173
1067,395,174
1068,397,174
1069,397,174
1070,399,174
1071,401,173
1072,403,173
1073,404,173
1074,404,173
1075,406,173
1076,408,173
1078,410,173
1079,412,173
1080,413,173
1081,414,173
1082,417,173
1083,418,173
1084,418,173
1085,420,173
1086,421,172
1087,421,172
1089,424,172
1090,424,172
1091,426,172
1092,426,172
1093,427,172
1094,428,172
1095,429,172
1096,430,172
1097,431,172
1099,434,172
1102,436,172
1103,437,172
1104,438,172
1105,438,172
1107,440,172
1108,441,172
1109,442,172
1110,443,172
1112,445,172
1113,446,172
1114,447,171
1115,448,171
1116,449,172
1117,450,171
1118,451,171
1119,451,172
1120,453,171
1121,453,171
1122,454,171
1123,455,170
1124,456,171
1125,457,170
1127,459,171
1129,461,170
1130,462,170
1131,462,170
1132,462,170
1133,464,170
1134,465,171
1135,466,171
1136,467,171
1137,468,170
1138,468,170
1140,469,170
1141,470,170
1142,471,170
1143,472,171
1144,473,170
1145,474,170
1146,474,170
1147,475,170
1148,475,170
1149,476,170
1151,477,170
1153,478,170
1154,478,170
1155,480,170
1156,480,170
1158,481,170
1159,482,170
1160,482,170
1161,482,170
1162,483,170
1163,483,170
1164,484,170
1165,484,170
1167,484,170
1168,485,170
1169,485,170
1170,486,169
1172,487,170
1175,488,169
1177,488,169
1178,488,170
1179,488,170
1180,488,170
1181,488,170
1182,488,170
1183,488,170
1186,488,170
1187,488,170
