frame,x,y
1,563,286
1,563,286
1,563,285
1,563,284
1,563,285
1,563,284
1,563,284
1,563,285
1,563,284
1,563,284
1,563,284
1,563,284
1,563,284
1,564,284
1,564,285
1,563,285
1,564,284
1,560,283
1,558,283
1,559,284
1,558,283
1,558,283
1,558,282
1,553,280
1,547,279
1,538,277
1,529,275
1,516,273
1,504,270
1,491,268
1,478,265
1,463,263
1,446,260
1,428,257
1,413,256
1,410,253
1,410,252
1,411,250
1,411,249
1,411,248
1,412,249
1,412,248
1,411,248
1,411,248
1,410,248
1,410,248
1,409,247
1,409,247
1,409,247
1,405,247
1,402,246
1,397,245
1,395,244
1,392,244
1,391,243
1,387,242
1,380,240
1,377,240
1,375,239
1,374,239
1,371,239
1,370,239
1,370,239
1,370,239
1,369,239
1,370,239
1,369,239
1,370,239
1,369,239
1,370,240
1,370,239
1,369,239
1,370,239
1,370,240
1,370,240
1,369,239
1,369,239
1,369,239
1,369,239
1,369,239
1,370,240
1,370,239
1,371,240
1,370,240
1,371,240
1,371,241
1,370,241
1,370,241
1,370,241
1,370,242
1,370,242
1,370,242
1,370,242
1,370,241
1,370,242
1,369,242
1,368,242
1,368,243
1,368,242
1,368,242
1,366,242
1,365,242
1,366,242
1,365,241
1,365,241
1,365,241
1,364,241
1,364,242
1,364,241
1,364,241
1,364,241
1,363,240
1,363,240
1,363,241
1,363,240
1,363,241
1,362,241
1,362,240
1,362,241
1,361,240
1,361,241
1,361,241
1,360,241
1,359,241
1,359,241
1,359,240
1,358,240
1,358,240
1,358,240
1,357,241
1,356,241
1,355,241
1,354,241
1,355,241
1,354,241
1,354,241
1,353,241
1,353,241
1,353,241
1,354,241
1,357,241
1,358,241
1,359,240
1,359,240
1,360,239
1,361,239
1,362,239
1,362,238
1,362,237
1,362,238
1,363,238
1,363,238
1,363,237
1,363,237
1,363,237
1,364,237
1,364,237
1,364,237
1,364,237
1,364,237
1,365,237
1,366,236
1,366,237
1,367,236
1,368,236
1,368,236
1,370,236
1,371,236
1,372,236
1,373,235
1,374,236
1,377,235
1,379,235
1,381,236
1,383,235
1,384,236
1,386,235
1,388,235
1,388,235
1,390,235
1,390,235
1,391,235
1,393,235
1,394,236
1,397,235
1,398,235
1,400,235
1,402,236
1,403,235
1,405,235
1,407,236
1,408,235
1,410,235
1,412,236
1,413,235
1,415,236
1,417,236
1,418,235
1,420,235
1,422,236
1,423,235
1,424,235
1,425,236
1,425,236
1,425,236
1,425,236
1,425,236
1,425,236
1,425,236
1,424,237
1,423,237
1,423,237
1,423,237
1,423,237
1,422,237
1,422,237
1,421,237
1,421,237
1,420,238
1,420,238
1,420,238
1,419,238
1,417,238
1,417,238
1,415,238
1,410,238
1,405,238
1,397,237
1,315,234
1,325,239
1,323,242
1,323,242
1,322,241
1,321,240
1,316,240
1,303,240
1,300,239
1,282,239
1,278,239
1,278,239
1,276,239
1,270,238
1,270,239
1,270,238
1,270,239
1,269,239
1,269,238
1,270,238
1,271,238
1,271,238
1,272,238
1,275,238
1,279,237
1,282,237
1,284,237
1,284,237
1,285,237
1,285,238
1,290,238
1,296,238
1,297,237
1,298,237
1,306,237
1,309,237
1,315,237
1,315,237
1,316,237
1,316,238
1,316,237
1,316,237
1,315,238
1,314,238
1,314,238
1,314,239
1,314,239
1,314,239
1,314,239
1,314,239
1,314,239
1,314,239
1,314,240
1,314,239
1,314,238
1,314,239
1,314,239
1,314,239
1,313,239
1,313,239
1,313,240
1,313,240
1,313,240
1,313,240
1,313,240
1,313,240
1,313,240
1,313,239
1,313,239
1,312,239
1,312,240
1,312,240
1,312,240
1,312,240
1,312,240
1,312,240
1,312,240
1,312,241
1,312,241
1,312,241
1,312,241
1,312,241
1,312,241
1,312,241
1,312,241
1,312,241
1,312,241
1,312,241
1,312,241
1,312,241
1,311,241
1,312,241
1,312,241
1,312,241
1,312,241
1,312,241
1,312,240
1,312,240
1,312,240
1,313,240
1,312,240
1,312,240
1,312,241
1,312,241
1,311,240
1,311,241
1,312,241
1,312,241
1,312,240
1,312,240
1,313,240
1,312,240
1,312,240
1,312,240
1,312,241
1,312,241
1,312,241
1,312,239
1,312,239
1,312,239
1,311,240
1,311,240
1,311,241
1,311,241
1,311,240
1,311,240
1,311,240
1,311,240
1,311,240
1,311,240
1,311,240
1,311,240
1,311,240
1,311,241
1,311,241
1,311,241
1,311,241
1,312,241
1,311,241
1,311,241
1,311,241
1,311,241
1,312,240
1,312,240
1,311,241
1,311,241
1,311,241
1,311,241
1,312,241
