Timestamp,Arduino_Time,contact,delta_X,delta_Y,Sync_Time,Simple_Time
2025-12-12 11:32:30.662970,324692,112,0,2,2025-12-12 11:32:30.617961645,2025-12-12 11:32:30.987662
2025-12-12 11:32:30.662970,326224,118,-1,2,2025-12-12 11:32:30.619496584,2025-12-12 11:32:30.989194
2025-12-12 11:32:30.662970,327780,108,0,2,2025-12-12 11:32:30.621055365,2025-12-12 11:32:30.990750
2025-12-12 11:32:30.663934,329312,106,0,1,2025-12-12 11:32:30.622590065,2025-12-12 11:32:30.992282
2025-12-12 11:32:30.664969,330852,102,0,2,2025-12-12 11:32:30.624132872,2025-12-12 11:32:30.993822
2025-12-12 11:32:30.665931,332384,96,-1,1,2025-12-12 11:32:30.625667810,2025-12-12 11:32:30.995354
2025-12-12 11:32:30.665931,333876,78,1,1,2025-12-12 11:32:30.627162457,2025-12-12 11:32:30.996846
2025-12-12 11:32:30.665931,335356,90,0,1,2025-12-12 11:32:30.628645182,2025-12-12 11:32:30.998326
2025-12-12 11:32:30.666931,336840,80,-1,2,2025-12-12 11:32:30.630131960,2025-12-12 11:32:30.999810
2025-12-12 11:32:30.666931,338340,88,0,1,2025-12-12 11:32:30.631634712,2025-12-12 11:32:31.001310
2025-12-12 11:32:30.666931,339820,88,0,1,2025-12-12 11:32:30.633117437,2025-12-12 11:32:31.002790
2025-12-12 11:32:30.667934,341304,80,0,1,2025-12-12 11:32:30.634603977,2025-12-12 11:32:31.004274
2025-12-12 11:32:30.667934,342784,92,0,2,2025-12-12 11:32:30.636086702,2025-12-12 11:32:31.005754
2025-12-12 11:32:30.667934,344272,100,-1,0,2025-12-12 11:32:30.637577534,2025-12-12 11:32:31.007242
2025-12-12 11:32:30.669111,345824,96,0,1,2025-12-12 11:32:30.639132261,2025-12-12 11:32:31.008794
2025-12-12 11:32:30.669111,347308,88,0,1,2025-12-12 11:32:30.640619040,2025-12-12 11:32:31.010278
2025-12-12 11:32:30.669111,348788,88,0,1,2025-12-12 11:32:30.642101765,2025-12-12 11:32:31.011758
2025-12-12 11:32:30.669111,350276,94,0,1,2025-12-12 11:32:30.643592358,2025-12-12 11:32:31.013246
2025-12-12 11:32:30.671451,351756,90,0,2,2025-12-12 11:32:30.645075083,2025-12-12 11:32:31.014726
2025-12-12 11:32:30.672469,353236,88,0,0,2025-12-12 11:32:30.646557808,2025-12-12 11:32:31.016206
2025-12-12 11:32:30.672469,354724,104,0,1,2025-12-12 11:32:30.648048639,2025-12-12 11:32:31.017694
2025-12-12 11:32:30.672469,356256,102,-1,1,2025-12-12 11:32:30.649583340,2025-12-12 11:32:31.019226
2025-12-12 11:32:30.673468,357812,98,0,1,2025-12-12 11:32:30.651142120,2025-12-12 11:32:31.020782
2025-12-12 11:32:30.673468,359292,96,0,0,2025-12-12 11:32:30.652624846,2025-12-12 11:32:31.022262
2025-12-12 11:32:30.673468,360780,108,0,1,2025-12-12 11:32:30.654115677,2025-12-12 11:32:31.023750
2025-12-12 11:32:30.674470,362312,100,0,1,2025-12-12 11:32:30.655650377,2025-12-12 11:32:31.025282
2025-12-12 11:32:30.675471,363852,94,0,1,2025-12-12 11:32:30.657193184,2025-12-12 11:32:31.026822
2025-12-12 11:32:30.675471,365332,96,0,1,2025-12-12 11:32:30.658675909,2025-12-12 11:32:31.028302
2025-12-12 11:32:30.676652,366820,86,0,0,2025-12-12 11:32:30.660166502,2025-12-12 11:32:31.029790
2025-12-12 11:32:30.676652,368300,96,0,1,2025-12-12 11:32:30.661649227,2025-12-12 11:32:31.031270
2025-12-12 11:32:30.680651,369784,80,0,1,2025-12-12 11:32:30.663136005,2025-12-12 11:32:31.032754
2025-12-12 11:32:30.680651,371264,80,0,1,2025-12-12 11:32:30.664618731,2025-12-12 11:32:31.034234
2025-12-12 11:32:30.680651,372752,86,0,1,2025-12-12 11:32:30.666109324,2025-12-12 11:32:31.035722
2025-12-12 11:32:30.681648,374232,86,0,1,2025-12-12 11:32:30.667592049,2025-12-12 11:32:31.037202
