frame,x,y
1,386,207
2,387,207
3,387,207
4,387,207
5,387,207
6,387,207
7,387,207
8,387,207
9,387,207
10,387,207
11,387,207
12,387,207
13,387,207
14,386,207
15,387,207
16,387,207
17,386,207
18,386,207
19,386,207
20,386,207
21,386,207
22,386,207
23,386,207
24,386,207
25,387,207
26,387,207
30,387,207
32,387,207
33,387,207
34,387,207
35,387,207
36,387,207
38,386,208
39,387,207
40,387,207
41,387,207
42,387,207
43,387,207
44,386,207
46,387,207
47,387,207
48,387,207
49,387,207
50,386,207
55,386,208
56,387,207
57,387,208
59,387,208
60,387,208
61,386,207
62,386,207
64,386,207
65,386,207
66,386,207
71,386,207
72,386,207
73,386,207
74,386,207
75,386,207
76,386,207
77,386,207
78,386,207
79,386,207
80,386,207
81,386,207
82,386,207
83,386,207
84,385,207
85,385,207
86,386,207
87,386,207
88,385,208
89,385,208
90,385,208
93,386,208
94,386,208
95,386,208
97,385,208
98,385,208
99,385,208
100,385,208
103,384,208
106,380,207
107,380,208
108,379,208
109,377,208
111,375,207
113,372,208
115,369,208
116,369,207
118,364,209
119,363,209
120,361,209
121,360,208
122,357,209
123,356,209
125,350,209
126,349,209
127,349,209
129,344,209
133,336,210
134,335,210
136,331,210
137,330,211
138,328,211
139,327,211
140,325,211
141,324,211
142,322,211
143,321,210
144,320,211
145,318,211
146,316,211
147,315,210
148,315,210
149,313,211
150,312,211
151,311,210
152,310,211
153,308,211
154,307,210
155,307,211
156,305,211
157,305,211
159,302,211
160,301,211
161,299,211
162,297,212
163,297,212
164,295,212
165,294,212
166,292,212
167,291,212
169,291,213
170,289,213
171,288,212
172,287,212
173,286,212
174,285,213
175,284,213
176,282,213
177,281,213
178,280,212
179,278,213
180,277,212
181,277,213
182,276,213
183,276,213
186,272,213
188,271,213
189,270,213
190,270,213
196,267,214
202,268,214
203,269,214
204,269,214
205,270,213
207,271,214
209,273,213
210,273,214
211,274,214
212,276,214
213,277,213
217,281,213
218,284,213
219,286,214
220,286,213
221,287,213
222,289,213
223,291,213
224,292,213
225,295,213
226,295,213
227,298,213
228,299,212
229,302,212
231,304,212
232,307,212
233,308,212
234,310,212
236,313,211
238,317,211
239,318,211
240,320,211
241,322,211
242,323,211
243,325,211
244,327,210
245,327,210
246,328,210
247,330,211
248,332,211
249,332,211
250,333,210
251,334,210
252,337,210
253,337,210
254,339,210
255,341,210
256,342,210
257,342,210
260,347,210
261,349,210
262,353,210
263,353,209
264,354,209
267,360,209
268,361,209
270,364,209
272,368,209
273,370,209
274,370,208
275,372,208
276,373,208
278,376,208
279,379,208
281,382,208
282,382,208
283,385,207
284,387,207
286,389,207
287,392,206
288,393,207
289,393,207
291,397,206
293,399,206
294,401,205
296,404,205
297,404,205
298,405,205
299,406,204
300,407,205
301,408,204
302,410,204
304,411,204
306,413,204
307,414,204
308,415,204
312,418,204
316,420,204
317,420,204
318,421,203
321,421,203
324,420,203
325,420,203
326,420,204
327,420,204
329,418,203
330,418,203
331,418,204
333,416,203
334,415,204
335,415,204
336,414,203
337,413,203
338,412,204
339,411,204
340,410,204
342,407,203
343,406,203
345,403,204
346,402,203
348,400,204
350,397,204
351,395,204
353,391,204
354,391,204
356,386,205
357,385,204
358,383,204
359,379,205
360,379,204
361,378,204
362,376,205
363,373,205
364,371,205
366,368,205
367,366,206
368,364,205
372,355,205
373,354,206
374,350,206
375,349,206
380,340,206
382,335,206
383,334,207
384,332,206
386,327,207
389,320,207
390,319,207
392,314,206
393,314,207
394,310,207
395,310,206
396,307,207
397,306,207
398,304,207
399,301,206
400,301,207
401,300,206
402,299,206
403,297,207
404,297,207
405,294,207
406,294,207
407,293,207
408,291,207
409,289,207
411,287,207
412,286,206
413,285,207
415,283,207
416,282,206
417,281,207
418,280,207
419,280,207
420,279,207
422,277,207
426,276,208
427,276,208
428,275,208
429,275,208
430,276,208
431,276,208
434,277,208
436,278,208
438,280,208
439,281,208
440,282,208
441,282,208
443,283,208
444,285,208
445,286,207
446,287,208
447,287,208
448,289,207
450,292,207
451,293,208
452,294,207
453,295,207
454,297,207
455,298,208
457,300,207
458,301,207
460,304,206
462,307,207
463,308,206
464,310,207
465,311,207
466,313,207
467,314,206
468,316,207
469,317,206
470,318,206
471,321,206
473,324,206
475,326,206
476,327,206
477,329,206
478,333,206
479,333,206
480,334,205
483,339,206
484,342,205
486,345,205
487,346,205
490,352,205
491,353,205
493,358,205
494,360,205
495,361,205
496,364,204
497,365,205
498,368,204
499,370,205
500,371,205
501,374,204
502,375,204
503,377,204
504,380,203
505,382,204
507,385,204
508,387,204
509,388,204
510,389,203
515,397,203
516,398,203
517,399,203
519,402,203
520,403,202
521,403,202
522,405,202
524,407,202
526,408,202
528,410,202
529,410,202
530,412,202
531,412,201
532,413,201
533,414,201
535,415,201
538,416,201
541,417,201
542,418,202
543,418,202
547,418,202
548,417,201
549,417,202
550,417,202
551,416,202
553,415,202
554,414,202
555,413,202
557,411,202
558,412,203
560,410,203
561,409,202
562,408,202
563,408,202
564,407,202
565,407,203
566,406,203
567,406,202
570,404,201
571,404,202
572,404,201
573,403,201
575,403,200
577,404,199
579,404,197
580,404,197
581,405,195
582,405,194
584,406,190
585,405,189
586,405,185
588,406,180
589,406,178
590,406,175
591,406,173
592,407,168
593,407,167
594,408,163
595,407,162
596,408,158
597,408,157
598,408,154
599,408,153
600,409,150
603,410,145
604,410,143
605,410,142
606,410,140
607,410,139
608,410,137
609,411,136
610,411,134
612,411,132
615,412,130
616,412,128
619,412,125
620,413,125
621,413,124
622,413,124
623,414,122
624,414,121
625,414,120
626,414,119
627,414,118
628,414,117
630,414,116
631,414,115
634,414,115
635,414,115
636,414,114
637,414,114
638,414,114
639,413,114
640,413,114
641,413,114
642,413,114
643,413,114
644,413,115
645,412,116
646,412,116
647,412,117
648,412,117
649,411,118
650,411,119
651,411,119
652,411,120
654,411,123
656,411,125
657,410,126
659,410,128
660,410,129
661,410,130
662,410,131
663,410,132
664,409,134
667,409,137
668,409,139
669,408,139
670,408,140
671,408,141
672,408,142
673,408,144
674,408,145
676,407,147
677,407,149
678,406,150
679,406,151
680,406,152
681,406,153
684,405,159
685,404,161
686,404,162
688,403,165
689,403,167
690,402,168
691,402,171
693,401,174
694,401,176
695,400,179
696,400,180
697,399,183
699,399,187
702,397,195
703,397,195
705,396,200
706,396,199
707,395,198
708,395,198
709,394,197
710,394,197
714,394,199
715,394,199
716,393,199
717,393,199
718,393,199
720,393,199
721,393,199
722,393,200
723,393,200
724,393,200
725,393,200
726,393,200
727,393,199
728,393,199
729,393,199
730,393,200
731,393,200
732,393,200
733,393,200
734,392,200
735,393,200
736,392,200
737,392,200
738,392,201
739,392,201
740,391,201
741,391,201
744,390,201
747,389,201
748,388,201
749,388,201
750,387,201
751,386,201
752,386,201
753,386,201
754,384,201
755,384,201
756,383,201
757,382,201
758,381,201
759,380,201
762,377,202
763,375,202
764,374,202
765,372,202
766,371,202
767,370,203
768,367,202
769,366,203
771,364,202
772,361,204
774,358,203
775,355,204
776,354,204
778,351,205
779,349,205
780,347,205
783,343,206
784,343,205
786,338,205
787,337,206
788,336,206
789,335,206
790,334,206
791,333,207
792,332,206
793,332,206
794,330,207
795,329,207
796,328,207
797,328,207
798,327,207
799,326,207
800,325,207
801,324,207
802,323,208
803,322,207
804,321,207
806,320,207
807,320,208
808,318,207
809,318,208
810,316,207
811,315,208
815,311,208
816,310,208
817,308,208
819,307,208
820,305,208
821,304,208
822,302,208
824,301,209
826,299,208
827,298,208
829,298,208
830,297,208
831,297,208
832,297,208
833,296,208
834,296,208
835,296,208
836,296,208
837,296,208
838,297,208
840,297,209
842,297,208
845,298,208
846,298,208
849,299,208
851,299,208
852,299,208
853,299,208
854,299,208
855,299,208
856,299,208
857,299,208
858,299,208
859,299,208
860,299,208
861,299,208
862,299,208
863,299,208
864,299,208
866,299,208
867,298,208
868,299,208
869,300,207
870,299,207
871,300,207
872,300,207
874,300,207
875,301,207
876,301,208
878,301,207
881,301,208
882,301,208
883,301,208
884,301,208
885,301,208
886,301,208
887,301,208
889,300,208
890,300,208
891,300,208
892,300,208
893,301,208
894,300,208
895,299,208
896,299,208
897,300,208
898,299,208
899,300,208
900,299,208
901,299,208
904,299,208
906,300,208
907,300,208
908,300,209
911,301,208
913,300,208
914,300,208
915,301,208
916,301,208
917,301,208
918,301,208
919,301,208
920,301,208
921,301,208
922,301,208
923,300,208
924,301,208
927,300,208
928,300,208
929,301,209
930,301,209
931,301,209
932,301,208
933,301,208
934,301,208
935,301,208
936,301,208
937,301,208
938,301,208
939,301,208
