Timestamp,Arduino_Time,contact,delta_X,delta_Y,Sync_Time,Simple_Time
2025-12-12 11:55:40.440746,323028,114,0,0,2025-12-12 11:55:40.346406937,2025-12-12 11:55:40.763774
2025-12-12 11:55:40.440746,324564,116,0,0,2025-12-12 11:55:40.347938538,2025-12-12 11:55:40.765310
2025-12-12 11:55:40.440746,326100,122,0,0,2025-12-12 11:55:40.349470139,2025-12-12 11:55:40.766846
2025-12-12 11:55:40.441745,327636,128,0,0,2025-12-12 11:55:40.351001740,2025-12-12 11:55:40.768382
2025-12-12 11:55:40.441745,329176,120,0,0,2025-12-12 11:55:40.352537394,2025-12-12 11:55:40.769922
2025-12-12 11:55:40.441745,330708,126,0,0,2025-12-12 11:55:40.354065180,2025-12-12 11:55:40.771454
2025-12-12 11:55:40.442744,332244,122,0,0,2025-12-12 11:55:40.355596781,2025-12-12 11:55:40.772990
2025-12-12 11:55:40.442744,333780,124,0,0,2025-12-12 11:55:40.357128382,2025-12-12 11:55:40.774526
2025-12-12 11:55:40.442744,335316,120,0,0,2025-12-12 11:55:40.358659983,2025-12-12 11:55:40.776062
2025-12-12 11:55:40.444257,336848,122,0,0,2025-12-12 11:55:40.360187769,2025-12-12 11:55:40.777594
2025-12-12 11:55:40.444257,338388,126,0,0,2025-12-12 11:55:40.361723423,2025-12-12 11:55:40.779134
2025-12-12 11:55:40.444257,339920,124,0,0,2025-12-12 11:55:40.363250971,2025-12-12 11:55:40.780666
2025-12-12 11:55:40.445303,341460,124,0,0,2025-12-12 11:55:40.364786625,2025-12-12 11:55:40.782206
2025-12-12 11:55:40.445303,342992,130,0,1,2025-12-12 11:55:40.366314411,2025-12-12 11:55:40.783738
2025-12-12 11:55:40.447323,344532,126,0,0,2025-12-12 11:55:40.367850065,2025-12-12 11:55:40.785278
2025-12-12 11:55:40.448321,346064,128,0,0,2025-12-12 11:55:40.369377613,2025-12-12 11:55:40.786810
2025-12-12 11:55:40.448321,347604,132,0,0,2025-12-12 11:55:40.370913267,2025-12-12 11:55:40.788350
2025-12-12 11:55:40.448321,349136,130,0,0,2025-12-12 11:55:40.372441053,2025-12-12 11:55:40.789882
2025-12-12 11:55:40.449319,350676,130,0,0,2025-12-12 11:55:40.373976707,2025-12-12 11:55:40.791422
2025-12-12 11:55:40.449319,352208,136,0,0,2025-12-12 11:55:40.375504255,2025-12-12 11:55:40.792954
2025-12-12 11:55:40.449319,353748,134,0,0,2025-12-12 11:55:40.377039909,2025-12-12 11:55:40.794494
2025-12-12 11:55:40.450319,355280,136,0,0,2025-12-12 11:55:40.378567457,2025-12-12 11:55:40.796026
2025-12-12 11:55:40.450319,356820,134,0,0,2025-12-12 11:55:40.380103111,2025-12-12 11:55:40.797566
2025-12-12 11:55:40.450319,358352,134,0,0,2025-12-12 11:55:40.381630898,2025-12-12 11:55:40.799098
2025-12-12 11:55:40.450319,359892,136,0,0,2025-12-12 11:55:40.383166552,2025-12-12 11:55:40.800638
2025-12-12 11:55:40.451528,361428,134,0,0,2025-12-12 11:55:40.384698153,2025-12-12 11:55:40.802174
2025-12-12 11:55:40.451528,362968,134,0,0,2025-12-12 11:55:40.386233807,2025-12-12 11:55:40.803714
2025-12-12 11:55:40.451528,364500,136,0,0,2025-12-12 11:55:40.387761593,2025-12-12 11:55:40.805246
2025-12-12 11:55:40.452583,366040,134,0,0,2025-12-12 11:55:40.389297009,2025-12-12 11:55:40.806786
2025-12-12 11:55:40.452583,367572,140,0,0,2025-12-12 11:55:40.390824795,2025-12-12 11:55:40.808318
2025-12-12 11:55:40.453661,369112,142,0,0,2025-12-12 11:55:40.392360449,2025-12-12 11:55:40.809858
2025-12-12 11:55:40.453661,370644,142,0,0,2025-12-12 11:55:40.393887997,2025-12-12 11:55:40.811390
2025-12-12 11:55:40.453661,372184,140,0,0,2025-12-12 11:55:40.395423651,2025-12-12 11:55:40.812930
2025-12-12 11:55:40.454659,373716,140,0,0,2025-12-12 11:55:40.396951437,2025-12-12 11:55:40.814462
2025-12-12 11:55:40.456696,375256,140,0,0,2025-12-12 11:55:40.398487091,2025-12-12 11:55:40.816002
2025-12-12 11:55:40.457660,376792,140,0,0,2025-12-12 11:55:40.400018692,2025-12-12 11:55:40.817538
2025-12-12 11:55:40.457660,378332,140,0,0,2025-12-12 11:55:40.401554346,2025-12-12 11:55:40.819078
2025-12-12 11:55:40.457660,379864,136,0,0,2025-12-12 11:55:40.403081894,2025-12-12 11:55:40.820610
2025-12-12 11:55:40.458658,381404,136,0,0,2025-12-12 11:55:40.404617548,2025-12-12 11:55:40.822150
2025-12-12 11:55:40.458658,382940,140,0,0,2025-12-12 11:55:40.406149387,2025-12-12 11:55:40.823686
2025-12-12 11:55:40.458658,384480,136,0,0,2025-12-12 11:55:40.407685041,2025-12-12 11:55:40.825226
2025-12-12 11:55:40.459659,386012,132,0,0,2025-12-12 11:55:40.409212589,2025-12-12 11:55:40.826758
2025-12-12 11:55:40.459659,387552,136,0,0,2025-12-12 11:55:40.410748243,2025-12-12 11:55:40.828298
