frame,x,y
1,165,282
2,165,282
3,165,282
4,165,282
5,165,282
6,165,282
7,165,282
8,165,282
9,165,282
10,165,282
11,165,282
12,165,282
14,165,282
15,165,282
16,165,282
17,165,282
18,165,283
19,165,282
20,165,282
21,165,282
22,165,282
23,165,283
24,165,282
25,165,282
26,165,282
27,165,282
28,165,282
29,165,282
30,165,282
31,165,282
32,165,282
33,165,282
34,165,282
35,165,282
36,165,282
37,165,282
38,165,282
39,165,282
40,165,283
41,165,282
42,165,282
43,165,282
44,165,282
45,165,282
46,165,282
47,165,282
48,165,282
49,165,282
50,165,282
51,165,282
52,165,282
53,165,282
54,165,282
55,165,282
56,165,282
57,165,282
58,165,282
59,165,282
60,165,282
61,165,282
63,165,282
64,165,282
65,165,282
66,165,282
67,165,282
68,165,282
69,165,282
70,165,282
71,165,282
72,165,283
73,165,282
74,165,282
75,165,282
76,165,282
77,165,282
78,165,282
79,165,282
80,165,282
81,165,282
82,165,282
83,165,283
84,165,283
86,165,283
87,165,283
91,165,283
92,165,283
93,165,282
94,165,283
95,165,282
96,165,282
97,165,283
98,165,282
99,165,282
100,165,282
101,165,282
103,165,283
104,165,282
105,165,282
106,165,282
107,165,283
109,165,282
110,165,282
111,165,282
112,165,282
113,165,283
114,165,282
115,165,282
116,165,282
117,165,282
118,165,282
119,165,282
120,165,283
122,165,282
123,165,282
124,165,282
125,165,282
127,165,283
128,165,282
129,165,282
131,165,283
132,165,282
134,165,283
135,165,283
136,165,283
137,165,283
138,165,283
139,164,282
140,165,283
141,165,283
142,165,283
145,165,282
146,165,282
149,165,283
150,165,283
151,165,282
152,165,282
153,165,282
154,165,282
155,165,282
156,165,282
157,165,282
158,165,283
159,165,282
160,165,283
161,165,282
162,165,283
163,165,283
164,165,282
165,165,282
166,165,282
167,165,282
168,165,282
169,165,282
170,165,282
171,165,282
173,165,283
174,165,283
175,165,283
176,165,282
177,165,282
178,165,282
179,165,283
180,165,283
181,165,282
182,165,282
183,165,282
184,165,282
185,165,282
186,165,282
187,165,282
188,165,282
189,165,282
190,165,282
191,165,282
192,165,282
195,165,283
196,165,283
197,165,282
198,165,282
199,165,282
200,165,282
201,165,282
202,165,282
203,165,282
204,165,282
205,165,282
206,165,283
207,165,283
208,165,283
209,165,283
210,165,283
214,165,283
217,165,282
218,165,282
219,165,282
220,165,282
221,165,282
222,165,282
223,165,282
224,165,282
225,165,282
226,165,282
227,165,282
228,165,282
229,165,283
230,165,283
231,165,283
232,165,283
233,165,282
234,165,283
235,165,283
236,165,283
237,165,283
238,165,283
239,165,283
240,165,283
241,165,282
242,165,282
243,165,282
244,165,282
245,165,282
246,165,282
247,165,282
248,165,282
249,165,282
250,165,282
251,165,282
252,165,282
253,165,282
254,165,282
255,165,282
256,165,282
257,165,282
258,165,282
259,165,282
260,165,282
261,165,282
262,165,282
263,165,282
264,165,282
265,165,283
266,165,282
267,165,282
268,165,282
269,165,282
270,165,282
271,165,282
272,165,282
273,165,282
274,165,282
275,165,282
276,165,282
277,165,283
278,165,283
279,165,283
280,165,282
281,165,282
283,165,283
284,165,282
285,165,282
286,165,282
287,165,282
289,165,283
290,165,282
291,165,282
292,165,283
293,165,282
294,165,283
295,165,283
296,165,282
297,165,282
298,165,283
299,165,282
300,165,282
301,165,282
302,165,282
303,165,283
304,165,283
305,165,283
306,165,283
307,165,283
308,165,283
309,165,283
310,165,283
311,164,282
312,164,282
313,165,283
314,165,282
315,165,282
316,165,282
317,165,283
318,165,282
319,165,282
320,165,282
321,165,282
322,165,282
323,165,282
324,165,283
325,165,283
326,165,282
327,165,283
328,165,282
329,165,282
330,165,282
331,165,282
332,165,282
333,165,282
334,165,282
335,165,282
336,165,282
337,165,282
338,165,282
339,165,282
340,165,282
341,165,282
342,165,282
343,165,282
344,165,282
345,165,282
346,165,282
347,165,282
348,165,283
349,165,282
350,165,282
351,165,282
352,165,282
353,165,282
354,165,282
355,165,282
356,165,282
357,165,282
358,165,282
359,165,282
360,165,282
361,165,283
362,165,283
363,165,283
364,165,283
365,165,283
366,165,283
367,165,283
368,165,283
369,165,282
370,165,283
371,165,283
372,165,282
373,165,282
374,165,283
378,165,283
379,165,283
381,165,282
382,165,283
383,165,283
384,165,282
385,165,282
386,165,282
387,165,282
388,165,282
389,165,282
390,165,282
392,165,282
393,165,282
394,165,282
395,165,282
396,165,282
397,165,283
398,165,282
399,165,282
400,165,282
401,165,282
402,165,282
403,165,282
404,165,282
405,165,282
406,165,282
407,165,282
408,165,282
409,165,282
410,165,283
411,165,282
412,165,282
413,165,282
414,165,283
415,165,283
416,165,282
417,165,282
418,165,282
419,165,282
420,165,282
421,165,282
422,165,282
423,165,282
424,165,282
425,165,282
426,165,282
427,165,282
428,165,282
429,165,282
430,165,282
431,165,282
432,165,282
433,165,282
434,165,282
435,165,282
436,165,282
437,165,282
438,165,282
439,165,282
440,165,282
441,165,282
442,165,282
443,165,282
444,165,282
446,165,282
447,165,282
448,165,282
449,165,282
450,165,282
451,165,282
452,165,282
453,165,282
454,165,282
455,165,282
456,165,282
457,165,282
461,165,283
462,165,282
463,165,283
464,165,283
465,165,283
466,165,283
467,165,282
468,165,282
469,165,283
470,165,283
471,165,282
472,165,282
473,165,282
474,165,282
475,165,282
476,165,282
477,165,282
478,165,282
479,165,282
480,165,282
481,165,282
482,165,282
483,165,283
484,165,283
485,165,282
486,165,282
487,165,283
488,165,283
489,165,282
490,165,282
491,165,282
492,165,282
493,165,282
494,165,282
495,165,282
496,165,282
497,165,282
498,165,282
499,165,282
500,165,282
501,165,282
502,165,282
503,165,282
504,165,282
505,165,283
506,165,283
507,165,282
508,165,282
509,165,282
510,165,282
511,165,282
512,165,282
513,165,282
514,165,282
515,165,282
516,165,282
517,165,282
518,165,283
519,165,283
520,165,283
521,165,283
522,165,283
523,165,283
524,165,283
525,165,282
526,165,283
527,165,282
528,165,282
529,165,282
530,165,282
531,165,282
532,165,282
533,165,282
534,165,282
535,165,282
536,165,282
537,165,282
538,165,282
539,165,282
540,165,282
541,165,283
542,165,283
543,165,283
544,165,283
545,165,283
546,165,282
547,165,282
548,165,283
549,165,283
550,165,283
551,165,283
552,165,282
553,165,282
554,165,282
555,165,282
556,165,282
557,165,282
558,165,282
559,165,282
560,165,282
561,165,282
562,165,282
563,165,282
564,165,282
565,165,282
566,165,282
567,165,282
568,165,282
570,165,282
571,165,282
572,165,282
573,165,282
574,165,282
575,165,282
576,165,282
577,165,282
578,165,282
579,165,282
580,165,282
581,165,282
582,165,283
583,165,283
584,165,283
585,165,283
586,165,283
587,165,283
588,165,283
589,165,282
590,165,282
591,165,282
592,165,282
593,165,282
594,165,282
595,165,282
596,165,282
597,165,282
598,165,282
599,165,282
600,165,282
601,165,283
602,165,282
603,165,282
604,165,282
605,165,282
606,165,282
607,165,282
608,165,283
609,165,283
610,165,283
611,165,283
612,165,282
614,165,283
615,165,283
616,165,283
620,165,282
621,165,282
622,165,282
623,165,282
624,165,282
625,165,283
626,165,283
627,165,283
628,165,283
629,165,282
630,165,282
631,165,282
632,165,282
633,165,283
634,165,283
635,165,283
636,165,283
637,165,282
638,165,282
639,165,282
640,165,282
641,165,282
642,165,282
643,165,282
644,165,282
645,165,282
646,165,282
647,165,282
648,165,282
651,165,283
652,165,283
653,165,283
654,165,283
655,165,282
656,165,282
657,165,282
658,165,282
659,165,282
660,165,282
661,165,282
662,165,282
663,165,283
664,165,283
665,165,283
666,165,283
667,165,282
668,165,283
669,165,282
670,165,282
671,165,282
672,165,282
673,165,283
674,165,283
675,165,283
678,165,283
679,165,283
683,165,283
685,165,282
686,165,282
687,165,282
688,165,282
689,165,282
690,165,282
691,165,282
692,165,282
693,165,282
694,165,282
695,165,282
696,165,282
697,165,282
698,165,283
699,165,283
700,165,283
701,165,283
702,165,283
703,165,282
704,165,283
705,165,283
706,165,283
708,165,283
709,165,282
710,165,282
711,165,282
712,165,282
713,165,282
714,165,282
715,165,282
716,165,282
717,165,282
718,165,282
719,165,282
720,165,282
721,165,282
722,165,282
723,165,282
724,165,282
725,165,282
726,165,282
727,165,282
728,165,282
729,165,282
730,165,282
731,165,283
732,165,283
733,165,282
735,165,282
736,165,282
737,165,282
738,165,282
739,165,283
740,165,283
741,165,282
742,165,283
743,165,282
744,165,282
746,165,283
747,165,283
748,165,282
749,165,283
750,165,283
751,165,282
752,165,282
753,165,282
754,165,282
755,165,282
756,165,282
757,165,282
758,165,282
759,165,283
760,165,282
761,165,282
762,165,283
763,165,283
764,165,283
765,165,283
766,165,283
767,165,283
768,165,282
769,165,282
770,165,282
771,165,283
772,165,282
773,165,282
774,165,282
775,165,282
776,165,282
777,165,282
778,165,282
779,165,282
780,165,282
781,165,283
782,165,283
783,165,283
784,165,283
785,165,282
786,165,282
787,165,282
788,165,283
789,165,283
790,165,283
791,165,283
792,165,282
793,165,282
794,165,282
796,165,282
797,165,282
798,165,282
799,165,282
800,165,282
801,165,282
802,165,282
803,165,282
804,165,282
805,165,283
806,165,282
807,165,282
808,165,282
809,165,282
810,165,282
811,165,282
812,165,282
813,165,282
814,165,282
815,165,282
816,165,282
817,165,283
818,165,282
819,165,283
820,165,283
822,165,283
823,165,283
824,165,283
825,165,283
826,165,283
827,165,282
828,165,283
829,165,282
830,165,283
831,165,283
832,165,282
833,165,282
834,165,282
835,165,283
836,165,282
837,165,282
838,165,282
839,165,282
840,165,282
841,165,283
842,165,283
843,165,283
844,165,283
845,165,283
846,165,283
847,165,282
848,165,282
849,165,282
850,165,283
851,165,283
852,165,283
853,165,283
854,165,283
855,165,282
856,165,282
857,165,282
858,165,282
859,165,282
860,165,282
861,165,282
862,165,283
863,165,283
864,165,282
865,165,283
866,165,283
867,165,283
868,165,282
869,165,282
870,165,282
871,165,283
872,165,283
873,165,282
874,165,283
875,165,282
876,165,282
877,165,283
878,165,282
879,165,282
880,165,282
881,165,282
882,165,282
883,165,282
884,165,282
885,165,282
886,165,282
887,165,282
888,165,282
889,165,282
890,165,283
891,165,282
892,165,282
894,165,283
895,165,283
896,165,282
897,165,282
898,165,283
899,165,283
900,165,283
901,165,282
902,165,282
903,165,282
904,165,282
905,165,282
906,165,282
907,165,282
908,165,282
909,165,283
910,165,283
911,165,282
912,165,282
913,165,282
914,165,282
915,165,282
916,165,282
917,165,282
918,165,282
919,165,282
920,165,282
921,165,282
922,165,282
923,165,282
924,165,282
925,165,282
926,165,282
927,165,282
928,165,282
929,165,282
930,165,282
931,165,282
932,165,282
933,165,283
934,165,283
935,165,282
936,165,283
937,165,283
939,165,282
940,165,282
941,165,282
942,165,282
943,165,282
944,165,282
945,165,283
946,165,283
947,165,282
948,165,282
949,165,282
950,165,282
951,165,282
952,165,282
953,165,282
954,165,283
955,165,282
956,165,282
957,165,282
958,165,282
959,165,282
960,165,282
961,165,282
962,165,282
963,165,283
964,165,282
965,165,282
966,165,282
967,165,282
968,165,282
969,165,282
970,165,283
971,165,283
972,165,283
973,165,282
974,165,282
976,165,282
977,165,283
978,165,282
979,165,282
980,165,282
981,165,282
982,165,282
983,165,282
984,165,282
985,165,282
986,165,282
987,165,282
988,165,282
989,165,282
990,165,282
991,165,282
992,165,282
993,165,282
994,165,282
995,165,282
996,165,282
997,165,283
998,165,282
999,165,282
1000,165,282
1001,165,282
1002,165,282
1003,165,282
1004,165,282
1005,165,282
1006,165,282
1007,165,282
1008,165,282
1009,165,283
1010,165,282
1011,165,282
1012,165,282
1013,165,282
1014,164,282
1015,164,282
1016,164,282
1018,165,282
1019,164,282
1020,165,282
1021,165,282
1022,165,282
1023,165,282
1024,165,282
1025,165,282
1026,165,282
1027,165,282
1028,165,282
1029,165,283
1030,165,283
1031,165,283
1032,165,282
1033,165,282
1034,165,283
1035,165,282
1036,165,283
1037,165,282
1038,165,282
1039,165,282
1040,165,282
1041,165,282
1042,165,282
1043,165,282
1044,165,283
1045,165,282
1046,165,282
1047,165,282
1048,165,282
1049,165,282
1050,165,283
1051,165,283
1052,165,283
1053,165,283
1054,165,283
1055,165,283
1056,165,282
1057,165,282
1058,165,282
1059,165,283
1060,165,283
1061,165,283
1062,165,282
1063,165,283
1064,165,283
1065,165,282
1066,165,283
1067,165,283
1068,165,283
1069,165,282
1070,165,282
1071,165,282
1076,165,282
1077,165,282
1078,165,282
1079,165,282
1080,165,282
1081,165,282
1082,165,282
1083,165,283
1084,165,283
1085,165,283
1086,165,283
1087,165,283
1088,165,283
1089,165,283
1090,165,282
1091,165,283
1092,165,283
1093,165,282
1094,165,282
1095,165,283
