Time,delta_X,delta_Y
11:19:12.916486,127,-127
11:19:12.964175,127,13
11:19:13.012243,-3,11
11:19:13.076537,-26,21
11:19:13.124377,-60,27
11:19:13.172478,-92,19
11:19:13.220332,-86,-3
11:19:13.268371,-47,-30
11:19:13.332534,-16,-38
11:19:13.380440,8,-39
11:19:13.428445,21,-36
11:19:13.476077,39,-28
11:19:13.524475,48,-9
11:19:13.572210,45,11
11:19:13.636163,34,19
11:19:13.684475,44,40
11:19:13.732392,46,52
11:19:13.780224,29,49
11:19:13.827883,-2,57
11:19:13.891958,-49,67
11:19:13.939769,-75,46
11:19:13.987833,-64,4
11:19:14.036371,-52,-44
11:19:14.083672,-34,-48
11:19:14.131808,-18,-43
11:19:14.195805,-1,-43
11:19:14.243634,18,-41
11:19:14.292338,28,-34
11:19:14.339713,40,-2
11:19:14.387732,42,15
11:19:14.451726,33,21
11:19:14.499490,31,26
11:19:14.547452,16,22
11:19:14.595635,4,23
11:19:14.643694,-10,27
11:19:14.691493,-9,21
11:19:14.755382,-4,8
11:19:14.803653,0,-1
11:19:14.851398,-14,-13
11:19:14.899556,-21,-33
11:19:14.947445,-14,-40
11:19:15.011279,3,-39
11:19:15.059600,25,-27
11:19:15.107283,26,-7
11:19:15.155223,32,16
11:19:15.203266,27,23
11:19:15.251203,21,32
11:19:15.315370,12,37
11:19:15.363820,3,43
11:19:15.411241,-14,43
11:19:15.459435,-22,33
11:19:15.507232,-19,14
11:19:15.571330,-25,-3
11:19:15.618996,-41,-14
11:19:15.666977,-39,-31
11:19:15.714983,-24,-43
11:19:15.762920,-5,-42
11:19:15.810940,13,-35
11:19:15.875288,28,-17
11:19:15.923119,42,-6
11:19:15.971955,44,2
11:19:16.019275,37,9
11:19:16.067615,15,11
11:19:16.124585,4,8
11:19:16.178814,4,11
11:19:16.227104,0,1
11:19:16.323401,1,0
11:19:18.690812,-1,-2
11:19:18.740574,-3,-5
11:19:18.785924,-1,0
